Employee_ID,Age,Gender,Department,Education_Level,Experience_Years,Salary,Training_Hours,Projects_Completed,Overtime_Hours,Absenteeism_Days,Last_Performance_Score,Performance_Level
1,50,Male,Finance,Masters,22,26928,26,19,9,2,1,Low
2,36,Male,IT,Bachelors,12,75309,7,18,41,0,4,Medium
3,29,Male,Sales,Masters,28,191960,72,17,21,7,5,Medium
4,42,Male,IT,Masters,25,194904,27,19,38,18,2,Low
5,40,Male,HR,Masters,13,136196,78,7,21,12,5,Medium
6,44,Female,Marketing,PhD,6,29404,65,0,36,6,5,Medium
7,32,Female,Marketing,PhD,28,184711,70,14,38,12,3,Medium
8,32,Male,IT,Masters,19,133187,46,18,19,5,1,Low
9,45,Female,Marketing,Bachelors,5,130449,81,9,9,2,1,Low
10,57,Female,Sales,Bachelors,6,47684,85,11,9,5,5,Medium
11,45,Male,IT,Masters,4,88591,9,5,25,2,2,Low
12,24,Male,Finance,PhD,20,139821,32,12,24,12,1,Low
13,43,Male,Sales,Bachelors,17,22682,6,3,27,12,1,Low
14,23,Female,Sales,PhD,22,131186,2,12,12,12,5,Medium
15,45,Male,Sales,Bachelors,11,189118,13,16,14,0,1,Low
16,51,Female,Finance,Masters,5,41832,43,0,5,7,3,Medium
17,59,Male,HR,PhD,26,36997,45,4,11,4,5,Medium
18,23,Female,Marketing,Bachelors,0,54640,60,16,18,19,1,Low
19,42,Male,IT,Masters,3,60491,35,17,31,16,1,Low
20,54,Male,HR,Masters,18,83043,12,6,10,8,1,Low
21,33,Female,IT,Masters,11,132175,15,15,37,12,5,Medium
22,43,Female,Marketing,PhD,14,148568,79,7,32,12,2,Low
23,46,Female,Finance,PhD,2,134250,4,11,1,4,4,Medium
24,48,Female,Sales,Masters,22,92725,88,13,14,13,1,Low
25,49,Female,Sales,PhD,26,148131,37,18,35,10,4,Medium
26,37,Female,Finance,Bachelors,27,65520,49,10,4,13,4,Medium
27,36,Male,HR,Masters,25,82919,37,11,14,6,1,Low
28,24,Female,HR,Masters,19,129869,55,12,42,16,1,Low
29,58,Male,IT,PhD,27,84442,62,7,9,3,4,Medium
30,28,Male,Finance,Masters,7,172842,47,0,16,9,2,Low
31,42,Female,HR,Bachelors,10,125246,89,8,33,9,4,Medium
32,30,Male,Finance,PhD,15,198570,58,1,23,14,2,Low
33,39,Female,Marketing,PhD,8,129687,76,13,9,19,3,Medium
34,25,Female,Sales,Masters,2,143447,43,12,29,11,2,Low
35,46,Male,Sales,Masters,4,81477,89,15,2,8,5,Medium
36,35,Male,Sales,Masters,19,20244,54,1,36,2,1,Low
37,30,Female,Finance,PhD,13,183860,54,3,2,14,3,Medium
38,47,Female,Finance,Masters,27,99453,0,11,39,11,4,Medium
39,23,Male,IT,Bachelors,25,197561,7,15,4,14,2,Low
40,41,Male,Sales,Masters,14,147962,3,9,27,0,3,Medium
41,49,Male,IT,Masters,5,91303,84,2,43,14,5,Medium
42,28,Male,Sales,PhD,26,48390,85,3,13,10,2,Low
43,29,Female,IT,Masters,25,30247,52,5,38,4,4,Medium
44,56,Female,IT,PhD,3,185750,57,4,10,6,4,Medium
45,35,Female,Marketing,Masters,7,49583,36,17,7,11,2,Low
46,38,Female,IT,Bachelors,18,159148,48,2,36,19,5,Medium
47,57,Male,Finance,Bachelors,26,169078,66,9,7,5,1,Low
48,25,Male,IT,PhD,4,166123,18,10,11,2,1,Low
49,23,Female,Sales,PhD,12,155386,0,18,14,9,4,Medium
50,27,Female,IT,Masters,15,48670,28,13,18,3,5,Medium
51,25,Female,HR,Masters,0,144920,86,10,47,12,4,Medium
52,50,Female,Sales,Bachelors,12,30236,32,3,45,18,1,Low
53,39,Female,HR,Masters,21,55568,51,5,27,4,4,Medium
54,47,Female,Sales,Bachelors,10,127327,40,16,6,17,2,Low
55,55,Female,Finance,PhD,20,130188,22,18,39,0,2,Low
56,31,Female,Finance,Masters,7,36352,4,12,6,15,5,Medium
57,57,Female,Finance,PhD,24,145721,70,9,29,15,1,Low
58,35,Male,HR,Masters,7,196722,56,10,17,15,5,Medium
59,52,Female,Marketing,Bachelors,23,161418,5,5,23,18,5,Medium
60,36,Male,Sales,PhD,27,176228,48,1,5,15,1,Low
61,29,Male,Finance,PhD,13,75904,21,0,3,0,3,Medium
62,35,Female,Sales,Masters,12,165107,76,10,2,19,3,Medium
63,44,Female,HR,PhD,2,142141,75,15,48,19,4,Medium
64,42,Male,Marketing,Bachelors,3,36108,3,2,46,9,3,Medium
65,37,Male,HR,PhD,26,22853,71,4,5,1,2,Low
66,39,Female,Sales,PhD,19,104156,63,14,25,13,5,Medium
67,45,Male,Marketing,Masters,14,24176,36,14,43,7,4,Medium
68,47,Female,Marketing,PhD,14,120459,30,3,37,5,5,Medium
69,46,Female,HR,Masters,29,176992,36,3,10,2,1,Low
70,50,Female,Finance,Masters,26,157901,44,7,28,15,3,Medium
71,36,Male,Sales,PhD,20,143225,89,6,19,16,1,Low
72,22,Male,IT,Bachelors,12,138458,7,16,9,11,4,Medium
73,46,Female,IT,Masters,8,130893,39,14,25,18,2,Low
74,28,Male,HR,PhD,27,93927,96,4,47,19,3,Medium
75,30,Male,Sales,Masters,24,138178,92,12,26,2,1,High
76,45,Male,Sales,Bachelors,9,60667,4,3,49,12,3,Medium
77,22,Male,HR,Bachelors,28,186915,27,16,13,15,5,Medium
78,29,Male,Sales,Masters,11,181615,80,16,35,10,2,Low
79,45,Male,Finance,Bachelors,13,26611,86,13,11,19,3,Medium
80,32,Male,HR,PhD,0,108242,8,13,22,15,2,Low
81,38,Female,Finance,PhD,13,104612,1,16,20,19,5,Medium
82,29,Male,Sales,Masters,13,66902,62,7,7,1,5,Medium
83,56,Male,HR,Bachelors,7,53043,95,1,38,3,1,Low
84,56,Male,Sales,PhD,15,156343,50,12,8,3,4,Medium
85,54,Male,HR,PhD,13,92867,30,15,23,16,1,Low
86,26,Male,Sales,PhD,0,97089,6,15,30,0,2,Low
87,49,Male,Finance,Masters,15,78745,29,5,24,0,1,Low
88,28,Male,Finance,Masters,17,162645,57,3,16,4,3,Medium
89,30,Male,Sales,PhD,6,172481,2,2,41,11,1,Low
90,29,Female,HR,PhD,14,105970,50,5,28,5,4,Medium
91,33,Male,IT,Bachelors,23,44464,55,3,2,5,4,Medium
92,55,Male,Finance,Bachelors,16,193912,72,17,20,16,2,Low
93,54,Male,Finance,Bachelors,18,199857,9,5,7,12,5,Medium
94,44,Male,IT,Masters,22,138523,60,4,13,7,4,Medium
95,45,Female,Sales,PhD,12,40662,49,8,38,11,2,Low
96,58,Female,HR,Masters,8,38228,46,10,15,14,4,Medium
97,56,Female,Sales,PhD,23,80721,89,5,17,18,4,Medium
98,43,Female,Marketing,Bachelors,23,158458,0,15,30,19,5,Medium
99,48,Female,Finance,Bachelors,14,26862,93,18,10,16,3,Medium
100,56,Female,Marketing,Bachelors,24,60108,56,10,37,8,2,Low
101,22,Female,Finance,Bachelors,25,111788,37,14,19,17,4,Medium
102,56,Female,Finance,PhD,2,100140,61,8,45,1,4,Medium
103,58,Female,Marketing,Bachelors,23,178273,78,18,44,10,1,Low
104,35,Female,Marketing,PhD,0,88578,88,18,3,19,3,Medium
105,24,Female,Sales,PhD,15,69966,69,8,19,16,5,Medium
106,22,Female,Marketing,Masters,7,30386,81,3,30,17,2,Low
107,26,Female,Sales,Bachelors,28,97228,64,9,19,14,4,Medium
108,47,Female,Sales,Bachelors,22,166297,61,8,10,6,2,Low
109,35,Female,Sales,Masters,12,167765,55,18,49,15,5,Medium
110,48,Female,Finance,PhD,7,92197,66,14,0,0,3,High
111,30,Male,Finance,Bachelors,16,63021,16,18,43,17,1,Low
112,36,Female,Marketing,PhD,21,138915,7,1,17,7,3,Medium
113,36,Male,Finance,Masters,22,169333,59,9,38,6,1,Low
114,47,Female,Marketing,PhD,13,178450,39,18,43,1,2,Low
115,34,Female,Finance,Bachelors,26,137174,80,16,32,11,3,Medium
