user_id,date,category,sub_category,amount,payment_method,location,income,budget,year,month,day,weekday,is_weekend
1010,2023-07-24 23:27:02,Transport,Bus,1903.97,UPI,Mall,50000,25000,2023,7,24,Monday,False
1015,2023-10-14 17:59:15,Education,Courses,4756.04,Cash,Store,40000,30000,2023,10,14,Saturday,True
1019,2024-03-29 01:14:05,Education,Courses,3673.37,Card,Store,30000,25000,2024,3,29,Friday,False
1002,2024-12-18 22:30:59,Shopping,Accessories,3013.36,Card,Store,40000,30000,2024,12,18,Wednesday,False
1017,2024-06-14 12:53:13,Food,Snacks,822.29,Cash,Restaurant,50000,30000,2024,6,14,Friday,False
1002,2024-06-15 13:32:14,Rent,House Rent,7339.92,Card,Online,60000,25000,2024,6,15,Saturday,True
1012,2024-07-09 08:00:06,Education,Books,337.51,Card,Online,30000,20000,2024,7,9,Tuesday,False
1008,2024-09-20 15:13:46,Shopping,Clothing,4337.57,Cash,Store,50000,30000,2024,9,20,Friday,False
1014,2023-05-03 23:01:58,Education,Courses,3025.52,UPI,Store,60000,20000,2023,5,3,Wednesday,False
1012,2024-02-21 19:18:35,Shopping,Accessories,3554.96,UPI,Store,30000,20000,2024,2,21,Wednesday,False
1003,2024-07-24 13:43:19,Shopping,Accessories,151.89,Cash,Online,30000,20000,2024,7,24,Wednesday,False
1017,2023-07-01 14:06:37,Shopping,Clothing,4851.05,UPI,Mall,40000,30000,2023,7,1,Saturday,True
1004,2023-01-20 02:07:48,Rent,House Rent,17486.64,Card,Online,40000,30000,2023,1,20,Friday,False
1013,2024-09-23 10:35:20,Travel,Flights,4760.41,Card,Restaurant,60000,30000,2024,9,23,Monday,False
1015,2024-04-14 19:43:06,Rent,House Rent,7727.37,UPI,Mall,40000,20000,2024,4,14,Sunday,True
1007,2024-08-28 23:42:10,Others,Misc,957.85,Card,Restaurant,60000,30000,2024,8,28,Wednesday,False
1008,2024-05-24 14:36:45,Travel,Flights,5955.15,Cash,Online,50000,30000,2024,5,24,Friday,False
1015,2024-09-27 14:44:20,Shopping,Electronics,2647.54,UPI,Mall,40000,20000,2024,9,27,Friday,False
1005,2024-07-02 04:22:00,Food,Groceries,2188.13,Card,Restaurant,40000,25000,2024,7,2,Tuesday,False
1008,2023-06-01 01:18:24,Food,Restaurant,1491.58,Cash,Online,60000,30000,2023,6,1,Thursday,False
1016,2024-12-21 17:54:14,Bills,Electricity,3078.67,UPI,Online,30000,25000,2024,12,21,Saturday,True
1011,2023-07-10 07:11:55,Shopping,Accessories,740.49,Cash,Online,30000,20000,2023,7,10,Monday,False
1010,2024-05-08 13:56:30,Food,Snacks,1496.12,Card,Restaurant,60000,20000,2024,5,8,Wednesday,False
1003,2023-11-30 09:36:40,Entertainment,Movies,1863.49,Cash,Restaurant,60000,30000,2023,11,30,Thursday,False
1019,2023-07-13 22:59:30,Shopping,Accessories,2307.55,Cash,Store,60000,25000,2023,7,13,Thursday,False
1008,2024-02-24 22:40:57,Shopping,Electronics,3936.62,Cash,Online,30000,20000,2024,2,24,Saturday,True
1018,2023-05-29 05:44:49,Shopping,Electronics,1038.39,Cash,Store,40000,20000,2023,5,29,Monday,False
1003,2024-11-19 08:26:39,Entertainment,Movies,2595.46,Cash,Store,60000,20000,2024,11,19,Tuesday,False
1007,2024-03-29 11:25:53,Transport,Fuel,2982.45,UPI,Restaurant,30000,30000,2024,3,29,Friday,False
1006,2023-07-20 04:11:55,Others,Misc,279.93,Cash,Restaurant,50000,30000,2023,7,20,Thursday,False
1014,2024-01-12 06:49:52,Food,Restaurant,3057.35,Card,Restaurant,50000,20000,2024,1,12,Friday,False
1010,2024-10-19 01:51:22,Rent,House Rent,7557.86,Cash,Restaurant,30000,30000,2024,10,19,Saturday,True
1003,2024-11-27 20:44:12,Education,Books,372.01,UPI,Store,40000,25000,2024,11,27,Wednesday,False
1016,2024-10-06 22:13:49,Entertainment,Games,4746.98,Cash,Store,30000,30000,2024,10,6,Sunday,True
1001,2024-07-28 12:52:23,Others,Misc,4829.88,UPI,Store,40000,25000,2024,7,28,Sunday,True
1008,2024-10-20 18:46:16,Food,Restaurant,4051.57,UPI,Store,40000,25000,2024,10,20,Sunday,True
1013,2023-02-27 08:06:07,Health,Medicine,1557.84,Cash,Online,60000,30000,2023,2,27,Monday,False
1004,2024-01-31 16:08:54,Food,Snacks,533.48,UPI,Restaurant,60000,20000,2024,1,31,Wednesday,False
1008,2024-01-05 04:03:24,Health,Medicine,3436.95,Cash,Online,60000,20000,2024,1,5,Friday,False
1013,2023-03-04 14:35:42,Shopping,Electronics,2228.75,Card,Restaurant,30000,30000,2023,3,4,Saturday,True
1001,2023-06-12 05:16:59,Education,Books,654.09,Cash,Online,60000,25000,2023,6,12,Monday,False
1019,2024-11-01 11:38:36,Others,Misc,2501.13,UPI,Restaurant,40000,25000,2024,11,1,Friday,False
1011,2024-08-18 16:16:40,Others,Misc,220.22,UPI,Mall,40000,30000,2024,8,18,Sunday,True
1008,2024-08-09 01:25:37,Bills,Electricity,4551.14,Cash,Store,40000,20000,2024,8,9,Friday,False
1003,2024-07-28 07:48:15,Transport,Bus,1330.96,UPI,Store,30000,30000,2024,7,28,Sunday,True
1017,2024-01-29 09:16:52,Entertainment,Movies,3329.49,Cash,Restaurant,30000,30000,2024,1,29,Monday,False
1011,2023-02-24 21:24:17,Bills,Electricity,1592.97,Cash,Mall,30000,25000,2023,2,24,Friday,False
1005,2023-03-26 14:20:32,Others,Misc,2624.34,Card,Restaurant,50000,30000,2023,3,26,Sunday,True
1020,2023-08-02 11:43:03,Education,Books,2756.22,Card,Online,40000,20000,2023,8,2,Wednesday,False
1020,2024-02-25 16:21:42,Transport,Bus,965.03,Card,Restaurant,40000,20000,2024,2,25,Sunday,True
1005,2023-06-24 12:13:00,Others,Misc,4849.44,Cash,Online,60000,30000,2023,6,24,Saturday,True
1016,2024-06-15 12:53:50,Transport,Taxi,3886.91,Cash,Restaurant,30000,25000,2024,6,15,Saturday,True
1019,2024-01-08 05:12:46,Health,Doctor,4700.52,Card,Mall,40000,25000,2024,1,8,Monday,False
1020,2024-06-04 22:50:09,Travel,Hotel,13632.76,Card,Mall,60000,25000,2024,6,4,Tuesday,False
1013,2023-05-31 01:30:05,Health,Medicine,3009.6,UPI,Online,30000,25000,2023,5,31,Wednesday,False
1003,2024-12-14 19:46:09,Health,Doctor,4613.28,UPI,Store,50000,25000,2024,12,14,Saturday,True
1014,2023-04-20 00:30:29,Transport,Fuel,488.04,UPI,Mall,50000,20000,2023,4,20,Thursday,False
1006,2024-11-28 02:40:24,Others,Misc,1020.12,Cash,Mall,30000,25000,2024,11,28,Thursday,False
1011,2023-08-05 19:53:11,Travel,Flights,2587.95,UPI,Store,40000,25000,2023,8,5,Saturday,True
1019,2024-04-22 23:54:35,Bills,Water,1660.39,Cash,Mall,30000,25000,2024,4,22,Monday,False
1007,2024-03-06 10:07:43,Travel,Hotel,7052.8,Card,Mall,30000,25000,2024,3,6,Wednesday,False
1017,2024-10-11 21:05:36,Entertainment,Movies,1393.18,Cash,Restaurant,30000,25000,2024,10,11,Friday,False
1012,2024-12-30 12:28:02,Rent,House Rent,17431.06,Card,Mall,30000,30000,2024,12,30,Monday,False
1004,2024-02-12 12:37:57,Travel,Flights,6637.79,UPI,Mall,30000,20000,2024,2,12,Monday,False
