date,product,category,sales,price,stock,day_of_week,month,week_of_year,is_weekend,lag_7,rolling_mean_7
2022-01-08,Bread,Bakery,109,86.72887250102775,251,5,1,1,1,83.0,78.42857142857143
2022-01-08,Eggs,Dairy,122,199.5706921592989,386,5,1,1,1,111.0,79.57142857142857
2022-01-08,Milk,Dairy,107,41.97529801285681,359,5,1,1,1,127.0,79.71428571428571
2022-01-08,Rice,Grocery,87,104.47721611955323,312,5,1,1,1,90.0,64.14285714285714
2022-01-08,Shampoo,Personal Care,102,55.51675922672476,329,5,1,1,1,90.0,74.28571428571429
2022-01-08,Soap,Personal Care,72,88.09703253046395,423,5,1,1,1,104.0,70.14285714285714
2022-01-09,Bread,Bakery,91,79.87879521665812,297,6,1,1,1,112.0,75.42857142857143
2022-01-09,Eggs,Dairy,110,70.94821234462981,458,6,1,1,1,84.0,83.28571428571429
2022-01-09,Milk,Dairy,100,55.99050158718508,402,6,1,1,1,110.0,78.28571428571429
2022-01-09,Rice,Grocery,85,165.1220559116829,343,6,1,1,1,76.0,65.42857142857143
2022-01-09,Shampoo,Personal Care,95,43.129621510948375,327,6,1,1,1,90.0,75.0
2022-01-09,Soap,Personal Care,92,13.15168749629267,346,6,1,1,1,100.0,69.0
2022-01-10,Bread,Bakery,84,185.69178747292693,497,0,1,2,0,50.0,80.28571428571429
2022-01-10,Eggs,Dairy,83,110.63360988764124,201,0,1,2,0,68.0,85.42857142857143
2022-01-10,Milk,Dairy,63,169.16492012239232,466,0,1,2,0,56.0,79.28571428571429
2022-01-10,Rice,Grocery,48,135.396968746494,311,0,1,2,0,52.0,64.85714285714286
2022-01-10,Shampoo,Personal Care,74,62.98555699251455,346,0,1,2,0,74.0,75.0
2022-01-10,Soap,Personal Care,55,193.4296767448708,236,0,1,2,0,69.0,67.0
2022-01-11,Bread,Bakery,61,131.98601276931467,274,1,1,2,0,79.0,77.71428571428571
2022-01-11,Eggs,Dairy,61,80.73372564673119,298,1,1,2,0,63.0,85.14285714285714
2022-01-11,Milk,Dairy,70,180.45094939098965,351,1,1,2,0,71.0,79.14285714285714
2022-01-11,Rice,Grocery,63,159.21472371164927,303,1,1,2,0,52.0,66.42857142857143
2022-01-11,Shampoo,Personal Care,63,133.8726393054941,368,1,1,2,0,42.0,78.0
2022-01-11,Soap,Personal Care,81,40.55352976932474,393,1,1,2,0,68.0,68.85714285714286
2022-01-12,Bread,Bakery,74,79.62906907074338,334,2,1,2,0,58.0,80.0
2022-01-12,Eggs,Dairy,69,130.90319745532014,221,2,1,2,0,68.0,85.28571428571429
2022-01-12,Milk,Dairy,43,13.434319086948964,476,2,1,2,0,73.0,74.85714285714286
2022-01-12,Rice,Grocery,58,68.53155045195395,375,2,1,2,0,66.0,65.28571428571429
2022-01-12,Shampoo,Personal Care,68,129.91633893947994,425,2,1,2,0,78.0,76.57142857142857
2022-01-12,Soap,Personal Care,58,195.9896430722517,250,2,1,2,0,67.0,67.57142857142857
2022-01-13,Bread,Bakery,45,156.02526271819872,216,3,1,2,0,62.0,77.57142857142857
2022-01-13,Eggs,Dairy,75,191.08365093455112,380,3,1,2,0,64.0,86.85714285714286
2022-01-13,Milk,Dairy,60,119.61173807900823,346,3,1,2,0,63.0,74.42857142857143
2022-01-13,Rice,Grocery,64,183.82423414188523,298,3,1,2,0,47.0,67.71428571428571
2022-01-13,Shampoo,Personal Care,60,70.21518097969275,327,3,1,2,0,61.0,76.42857142857143
2022-01-13,Soap,Personal Care,42,24.31578864116436,452,3,1,2,0,64.0,64.42857142857143
2022-01-14,Bread,Bakery,49,23.37906486141334,313,4,1,2,0,79.0,73.28571428571429
2022-01-14,Eggs,Dairy,47,35.958052973985474,445,4,1,2,0,88.0,81.0
2022-01-14,Milk,Dairy,66,187.8694070905484,257,4,1,2,0,78.0,72.71428571428571
2022-01-14,Rice,Grocery,55,58.291093323250365,472,4,1,2,0,69.0,65.71428571428571
2022-01-14,Shampoo,Personal Care,67,58.67931928294704,212,4,1,2,0,73.0,75.57142857142857
2022-01-14,Soap,Personal Care,61,65.78245041025374,446,4,1,2,0,51.0,65.85714285714286
2022-01-15,Bread,Bakery,98,179.1010149453376,342,5,1,2,1,109.0,71.71428571428571
2022-01-15,Eggs,Dairy,109,98.46362344516744,262,5,1,2,1,122.0,79.14285714285714
2022-01-15,Milk,Dairy,79,161.6760840036873,463,5,1,2,1,107.0,68.71428571428571
2022-01-15,Rice,Grocery,98,27.85656856976511,414,5,1,2,1,87.0,67.28571428571429
2022-01-15,Shampoo,Personal Care,106,167.29511071964183,259,5,1,2,1,102.0,76.14285714285714
2022-01-15,Soap,Personal Care,107,17.09615586235074,470,5,1,2,1,72.0,70.85714285714286
2022-01-16,Bread,Bakery,111,147.9573534073057,468,6,1,2,1,91.0,74.57142857142857
2022-01-16,Eggs,Dairy,101,45.02339812296031,478,6,1,2,1,110.0,77.85714285714286
2022-01-16,Milk,Dairy,80,26.21601834881592,246,6,1,2,1,100.0,65.85714285714286
2022-01-16,Rice,Grocery,117,161.0853770060537,474,6,1,2,1,85.0,71.85714285714286
2022-01-16,Shampoo,Personal Care,84,57.54615065127311,325,6,1,2,1,95.0,74.57142857142857
2022-01-16,Soap,Personal Care,89,87.70105943871128,257,6,1,2,1,92.0,70.42857142857143
