date,product,category,sales,price,stock
2022-01-01,Milk,Dairy,127,190.63571821788406,306
2022-01-01,Bread,Bakery,83,94.70822304218231,414
2022-01-01,Rice,Grocery,90,174.57346769723767,299
2022-01-01,Eggs,Dairy,111,13.911053916202466,457
2022-01-01,Soap,Personal Care,104,188.32501471299253,391
2022-01-01,Shampoo,Personal Care,90,67.80602616231216,221
2022-01-02,Milk,Dairy,110,109.70718544909394,369
2022-01-02,Bread,Bakery,112,54.226554681757804,374
2022-01-02,Rice,Grocery,76,125.43352186127329,220
2022-01-02,Eggs,Dairy,84,12.52034262037464,288
2022-01-02,Soap,Personal Care,100,83.22913548258406,252
2022-01-02,Shampoo,Personal Care,90,55.79483854494222,463
2022-01-03,Milk,Dairy,56,182.77087639496858,249
2022-01-03,Bread,Bakery,50,69.22510445698808,253
2022-01-03,Rice,Grocery,52,45.122346549850135,390
2022-01-03,Eggs,Dairy,68,188.50479889719594,469
2022-01-03,Soap,Personal Care,69,26.813575389864706,414
2022-01-03,Shampoo,Personal Care,74,170.46143124884875,436
2022-01-04,Milk,Dairy,71,167.46012673886656,416
2022-01-04,Bread,Bakery,79,36.77560274520491,214
2022-01-04,Rice,Grocery,52,12.970917280826846,208
2022-01-04,Eggs,Dairy,63,47.75597949149276,262
2022-01-04,Soap,Personal Care,68,144.30289533104724,362
2022-01-04,Shampoo,Personal Care,42,125.13239520839217,430
2022-01-05,Milk,Dairy,73,183.84233835331835,400
2022-01-05,Bread,Bakery,58,72.87062472200334,247
2022-01-05,Rice,Grocery,66,148.62517388423217,413
2022-01-05,Eggs,Dairy,68,99.72083578077037,300
2022-01-05,Soap,Personal Care,67,171.29362661055595,204
2022-01-05,Shampoo,Personal Care,78,103.82116330923424,406
2022-01-06,Milk,Dairy,63,93.47393535449632,378
2022-01-06,Bread,Bakery,62,69.72763640450208,295
2022-01-06,Rice,Grocery,47,57.36552353828624,436
2022-01-06,Eggs,Dairy,64,48.58163269960619,212
2022-01-06,Soap,Personal Care,64,40.63204457826084,265
2022-01-06,Shampoo,Personal Care,61,66.17040030916566,333
2022-01-07,Milk,Dairy,78,45.44831118834681,485
2022-01-07,Bread,Bakery,79,71.62555399100205,430
2022-01-07,Rice,Grocery,69,61.70512738308071,482
